"result_creator","result_id","task_id","num_annot","inside","resized","outer","inner","wap","wtr"
"vudichtinechutiniqe",190,56,1,False,False,"","","",""
"quinutumvepa",191,56,1,False,False,"","","",""
"omnuoknechrapolich",192,56,2,True,True,13.671965361455976,2.6585161583000074,80.55498176001161,0.27951747098699425
"tiradcharedqiraslesyr",193,56,2,False,False,23.75829444277282,23.75829444277282,0.0,0.0
"enalatsineles",194,56,2,True,True,18.155409480551324,4.8356128498391096,73.3654432029243,0.2419566083142425
"nepedheffewixeprir",195,56,2,True,True,13.988593672918624,5.984203347107065,57.22083658279209,0.17297108913274992
"ekpiteri",196,56,4,True,True,"","","",""
"wegewulcyoquudsas",197,56,2,True,True,16.429844942223262,10.241492496147123,37.66531253239412,0.10523840274285207
"vudichtinechutiniqe",198,56,1,False,False,"","","",""
"aqtodeunneikvedav",199,56,2,True,True,14.907744996548573,4.120189802365825,72.3620855916188,0.23714112908073084
"telegvixanlanefof",200,1964,2,True,True,10.235477783959581,1.7253709886057031,83.14322960761442,0.29471501277257517
"mabtimoxike",201,1964,1,False,False,"","","",""
"gelerutec",202,1964,1,False,False,"","","",""
"itseidlaelextu",203,1964,1,False,False,"","","",""
"rosiqxar",204,1964,4,False,False,"","","",""
"ardoro",205,1964,2,True,True,11.555189001942392,5.0217682510758905,56.54101157296738,0.17038284166690965
"fizquanla",206,1964,2,True,True,8.528478181953334,2.933189745482805,65.60711438894721,0.20677276042694812
"ladgioldigotytageh",207,1964,2,True,True,6.648290992033548,3.3880947977293974,49.03810916535916,0.14306201226739382
"vudichtinechutiniqe",208,1964,1,False,False,"","","",""
"lesdohanusre",209,1964,2,True,False,13.687088733538705,4.73084012355237,65.43574593799508,0.20604314065663937
"holonsac",210,1964,1,False,False,"","","",""
"wegewulcyoquudsas",211,1964,2,True,True,11.849926991139583,6.979373681127834,41.1019689290369,0.11627473672247254
"ecenivri",212,1964,2,True,True,15.65097262321708,2.8914368662472314,81.5255132325898,0.28509021213884767
"essatetig",213,1964,2,True,True,9.59879142874521,1.6928998116686653,82.36340664097577,0.29002027860395524
"itseidlaelextu",214,1964,1,False,False,"","","",""
"ardoro",215,1964,2,True,True,11.344238248878048,4.140397184132141,63.50220179357016,0.19793296188416284
"enalatsineles",216,1964,2,True,True,6.849386055431395,0.5005855721128732,92.69152639285207,0.36482905631064866
"dykvedutna",217,1964,2,True,True,12.434792080678411,2.9395148115519225,76.36056322872147,0.2568979804111115
"vudichtinechutiniqe",218,1964,1,False,False,"","","",""
"xivyxgic",219,1964,1,False,False,"","","",""
"telegvixanlanefof",220,1424,2,True,True,7.659756392493074,1.653634371521293,78.4113973501568,0.26768231529948483
"mabtimoxike",221,1424,1,False,True,"","","",""
"gelerutec",222,1424,1,False,False,"","","",""
"itseidlaelextu",223,1424,1,False,False,"","","",""
"rosiqxar",224,1424,3,False,False,"","","",""
"ardoro",225,1424,2,True,True,10.748191953364676,4.620474472903626,57.01161187898951,0.17217234664762304
"fizquanla",226,1424,1,False,False,"","","",""
"ladgioldigotytageh",227,1424,2,True,True,4.512232562190756,1.7625548866216412,60.938296900062824,0.18750318761650875
"vudichtinechutiniqe",228,1424,1,False,False,"","","",""
"lesdohanusre",229,1424,2,True,True,10.882411477424744,2.9175972848424516,73.18979078401028,0.24110712053056715
"lesdohanusre",230,1424,0,True,True,"","","",""
"wegewulcyoquudsas",231,1424,1,False,False,"","","",""
"ecenivri",232,1424,2,True,True,15.673316736694343,0.9212005176668477,94.1224915367777,0.3787821335031186
"essatetig",233,1424,2,True,True,5.816109673903452,1.3812197548998901,76.251827555843,0.25633951672379757
"itseidlaelextu",234,1424,1,False,False,"","","",""
"ardoro",235,1424,2,True,True,8.219173775449438,3.442408238183066,58.11734448947297,0.1764159478955776
"enalatsineles",236,1424,2,True,True,8.802978638985705,0.492267853940012,94.4079399243353,0.3817623148519823
"dykvedutna",237,1424,1,False,False,"","","",""
"vudichtinechutiniqe",238,1424,1,False,False,"","","",""
"xivyxgic",239,1424,1,False,False,"","","",""
"telegvixanlanefof",240,345,1,False,False,"","","",""
"mabtimoxike",241,345,1,False,True,"","","",""
"gelerutec",242,345,1,False,False,"","","",""
"itseidlaelextu",243,345,2,False,False,23.758294442772844,23.7582944427728,1.7944286467320315e-13,4.1122323154275744e-16
"rosiqxar",244,345,3,False,False,"","","",""
"ardoro",245,345,2,True,True,10.77588735115582,1.9081633744313715,82.2922854308912,0.2895973231568286
"fizquanla",246,345,1,False,False,"","","",""
"ladgioldigotytageh",247,345,2,True,True,6.614143877426192,2.97564188147316,55.01092905419087,0.16463053602851255
"vudichtinechutiniqe",248,345,2,True,True,5.998169075611815,2.0841411897214823,65.25371053317801,0.2052700835221253
"lesdohanusre",249,345,2,True,True,11.675301580795912,2.361864705329669,79.77041801460122,0.27511346202251913
"holonsac",250,345,1,False,False,"","","",""
"wegewulcyoquudsas",251,345,2,True,True,8.852799630319184,6.300785480072619,28.827198816365318,0.07818012972468127
"ecenivri",252,345,2,True,True,13.729232312706383,1.2081748436132063,91.19998251835945,0.35167588293166413
"essatetig",253,345,2,True,True,7.705621318498671,1.999618133873676,74.04987798877103,0.24529368867640436
"itseidlaelextu",254,345,1,False,False,"","","",""
"ardoro",255,345,2,True,True,14.672264026088667,2.12183843668271,85.53843883323063,0.3098582031300761
"enalatsineles",256,345,2,True,True,12.01620952169976,2.380962189788695,80.18541383213253,0.27743211053777617
"dykvedutna",257,345,2,True,True,9.190007986640135,2.6055551062259803,71.64795601903965,0.2337668128267986
"vudichtinechutiniqe",258,345,1,False,False,"","","",""
"xivyxgic",259,345,2,False,True,3.3986972947987004,1.6211753672718179,52.30009539970409,0.15467441232839443
"telegvixanlanefof",260,318,2,True,False,39.325823299495845,7.621527051812073,80.61953593757367,0.27988375762778017
"mabtimoxike",261,318,1,False,False,"","","",""
"gelerutec",262,318,2,False,False,23.75829444277282,23.75829444277282,0.0,0.0
"itseidlaelextu",263,318,3,False,False,"","","",""
"rosiqxar",264,318,3,False,False,"","","",""
"ardoro",265,318,2,True,True,13.042557808022387,5.145985984859548,60.544656496026505,0.18593255698825814
"fizquanla",266,318,2,True,True,11.729254648242058,3.138650089601478,73.24083939066078,0.24135371349399184
"ladgioldigotytageh",267,318,2,True,True,6.6815133901768915,3.21364548840525,51.90243136936721,0.15323794674650176
"vudichtinechutiniqe",268,318,2,True,True,7.611300774880031,2.1886010849633655,71.24537382379476,0.23188329884076025
"lesdohanusre",269,318,2,True,True,14.4145734131806,4.55093870941723,68.42821095728107,0.2190561041652669
"holonsac",270,318,3,False,False,"","","",""
"wegewulcyoquudsas",271,318,2,True,True,10.935482772285795,5.886279914731296,46.17265613870183,0.13316439696609952
"ecenivri",272,318,2,True,True,19.509389437685005,3.7780347372628627,80.63478742207543,0.2799703850732556
"essatetig",273,318,2,True,True,8.746014875220332,2.011733038779221,76.99828930683655,0.26019950639561096
"itseidlaelextu",274,318,1,False,False,"","","",""
"ardoro",275,318,2,True,True,14.09328202015877,4.098076444412567,70.9217736610198,0.23037884755188345
"enalatsineles",276,318,2,True,True,17.20282860919931,4.5807633268812324,73.3720341523856,0.24198853781462343
"dykvedutna",277,318,2,True,True,12.807563909510211,3.3156926599277528,74.11144942664939,0.24559603691495577
"vudichtinechutiniqe",278,318,2,True,True,7.966561394793898,2.928380577449616,63.241599074811674,0.1968564658235792
"xivyxgic",279,318,3,False,True,"","","",""
"gelerutec",280,11,1,False,False,"","","",""
"itseidlaelextu",281,11,1,False,False,"","","",""
"ardoro",282,11,2,True,True,21.089003984488077,5.819599954565608,72.4045765326509,0.23734326837415198
"holonsac",283,11,2,True,False,23.75829444277282,6.038761991073945,74.58251051808598,0.2479211954471677
"vudichtinechutiniqe",284,11,1,False,False,"","","",""
"itrewafutxon",285,11,1,False,True,"","","",""
"feysregopuc",286,11,1,False,False,"","","",""
"meiwhoelsirrise",287,11,1,False,False,"","","",""
"gelerutec",288,11,1,False,False,"","","",""
"fiahlamuawetulko",289,11,2,True,True,19.90858020813702,9.52384875918495,52.16208961354075,0.1541752236086198
"catafewechu",290,11,4,True,False,"","","",""
"ardoro",291,11,2,True,True,22.08079682975277,6.205031753698394,71.89851525042147,0.2349458321890668
"itseidlaelextu",292,11,1,False,False,"","","",""
"gelerutec",293,11,1,False,False,"","","",""
"tiradcharedqiraslesyr",294,11,1,False,False,"","","",""
"ecenivri",295,11,2,True,True,28.381606205511225,7.180880751606071,74.69882183689919,0.24849861748341814
"enalatsineles",296,11,2,False,True,18.312846385316348,9.219528867128973,49.655402152439834,0.14523036401222214
"itseidlaelextu",297,11,1,False,False,"","","",""
"essatetig",298,11,2,True,True,14.423686524594332,2.9566217347136057,79.50162235103927,0.2736243296588571
"gelerutec",299,11,1,False,False,"","","",""
"lesdohanusre",300,1622,2,True,False,23.75829444277283,4.48069355071832,81.14050837482853,0.2828624190451393
"tiradcharedqiraslesyr",301,1622,1,False,False,"","","",""
"gelerutec",302,1622,1,False,False,"","","",""
"omquadowro",303,1622,5,False,False,"","","",""
"hedeohfule",304,1622,1,False,False,"","","",""
"itseidlaelextu",305,1622,1,False,False,"","","",""
"sozeched",306,1622,2,True,True,25.977631554784782,11.801844547639513,54.569204961005205,0.16298814917352386
"gelerutec",307,1622,1,False,False,"","","",""
"itseidlaelextu",308,1622,1,False,False,"","","",""
