"result_creator","result_id","task_id","num_annot","inside","resized","outer","inner"
"catafewechu",9513,2204,6,True,True,"",""
"catafewechu",9514,2204,6,True,True,"",""
"lesdohanusre",9515,2204,2,True,True,11.855146590465191,3.1538934157223517
"dotrutole",9516,2204,2,True,False,12.303750944207295,3.695653021969793
"diajerxites",9517,2204,2,True,True,11.1514761207252,4.526574176901147
"dotrutole",9518,2204,2,True,True,13.289941848506398,3.734245446539414
"catafewechu",9519,2204,6,True,True,"",""
"tiradcharedqiraslesyr",9520,2150,1,False,False,"",""
"ludenkisedadadeldoch",9521,2150,2,True,True,16.318538482057022,7.128525023633729
"itseidlaelextu",9522,2150,1,False,False,"",""
"obtaochronbi",9523,2150,2,True,True,11.768000685786232,4.497963830241289
"tiradcharedqiraslesyr",9524,2150,2,True,True,19.669785510001756,6.257165126809275
"ludenkisedadadeldoch",9525,2150,2,True,True,15.174754626870413,4.865382254234877
"lesdohanusre",9526,2150,2,True,True,13.584145352404702,4.8739448267780805
"nafapotquawaj",9527,2150,1,False,False,"",""
"ludenkisedadadeldoch",9528,2150,2,True,True,22.146262981551573,6.263386497951843
"lesdohanusre",9529,2150,2,True,True,17.094483151938796,5.266904471694637
"lesdohanusre",9530,2150,2,True,True,18.31328557805375,5.7576803265289245
"lesdohanusre",9531,2150,2,False,True,29.12113688661698,5.651671133375244
"itseidlaelextu",9532,2150,1,False,False,"",""
"catafewechu",9533,2150,4,True,False,"",""
"catafewechu",9534,2150,8,True,False,"",""
"lesdohanusre",9535,2150,2,True,True,18.07122737953234,6.072756387623058
"dotrutole",9536,2150,2,True,True,21.305030313491994,6.358518961626789
"diajerxites",9537,2150,2,True,True,25.728495097229278,5.148163528625033
"dotrutole",9538,2150,2,True,True,21.690596126400017,6.706457921377135
"catafewechu",9539,2150,8,True,True,"",""
"tiradcharedqiraslesyr",9540,1034,1,False,False,"",""
"ludenkisedadadeldoch",9541,1034,1,False,False,"",""
"itseidlaelextu",9542,1034,1,False,False,"",""
"obtaochronbi",9543,1034,2,True,True,15.536581397118645,6.979373681113835
"tiradcharedqiraslesyr",9544,1034,1,False,False,"",""
"ludenkisedadadeldoch",9545,1034,1,False,False,"",""
"lesdohanusre",9546,1034,2,True,True,34.55593743624153,13.280305032007172
"nafapotquawaj",9547,1034,1,False,False,"",""
"ludenkisedadadeldoch",9548,1034,1,False,False,"",""
"lesdohanusre",9549,1034,2,True,True,28.433807724245437,9.591814220310793
"lesdohanusre",9550,1034,2,True,True,32.35749969184511,6.43736782946801
"lesdohanusre",9551,1034,2,True,True,28.79758006318099,5.888761180832359
"itseidlaelextu",9552,1034,1,False,False,"",""
"catafewechu",9553,1034,2,False,True,29.866573528742812,10.306625319330092
"catafewechu",9554,1034,2,True,True,32.41527701907399,8.724164510845526
"lesdohanusre",9555,1034,2,True,True,35.06620923831243,7.119807925491962
"dotrutole",9556,1034,2,True,True,26.783464178401893,8.752458700460892
"diajerxites",9557,1034,2,False,True,23.652242188437175,12.247030906189764
"dotrutole",9558,1034,2,True,True,31.674130112080903,9.596091377977164
"catafewechu",9559,1034,2,True,True,24.94762644467953,7.840105252664023
"tiradcharedqiraslesyr",9560,880,1,False,False,"",""
"ludenkisedadadeldoch",9561,880,1,False,False,"",""
"itseidlaelextu",9562,880,1,False,False,"",""
"obtaochronbi",9563,880,1,False,False,"",""
